x,approximated,precise
-0.100000,-10.016686,-10.016686
-0.200000,-5.033490,-5.033490
-0.300000,-3.383863,-3.383863
-0.400000,-2.567932,-2.567932
-0.500000,-2.085830,-2.085830
-0.600000,-1.771032,-1.771032
-0.700000,-1.552270,-1.552270
-0.800000,-1.394008,-1.394008
-0.900000,-1.276606,-1.276606
-1.000000,-1.188395,-1.188395
-1.100000,-1.122073,-1.122073
-1.200000,-1.072916,-1.072916
-1.300000,-1.037820,-1.037820
-1.400000,-1.014765,-1.014765
-1.500000,-1.002511,-1.002511
-1.600000,-1.000427,-1.000427
-1.700000,-1.008405,-1.008405
-1.800000,-1.026855,-1.026855
-1.900000,-1.056747,-1.056747
-2.000000,-1.099750,-1.099750
0.100000,10.016686,10.016686
0.200000,5.033490,5.033490
0.300000,3.383863,3.383863
0.400000,2.567932,2.567932
0.500000,2.085830,2.085830
0.600000,1.771032,1.771032
0.700000,1.552270,1.552270
0.800000,1.394008,1.394008
0.900000,1.276606,1.276606
1.000000,1.188395,1.188395
1.100000,1.122073,1.122073
1.200000,1.072916,1.072916
1.300000,1.037820,1.037820
1.400000,1.014765,1.014765
1.500000,1.002511,1.002511
1.600000,1.000427,1.000427
1.700000,1.008405,1.008405
1.800000,1.026855,1.026855
1.900000,1.056747,1.056747
2.000000,1.099750,1.099750
